User,Bio,Country
hellar.n,An arborist who just loves wine and pairing it with food.,estonia
martijn-kra,"Life is like wine, some are better at younger age others blossoming when they are older.",netherlands
robin.fen,"Wine enthusiast, always on the lookout for new discoveries. WSET 3 certified.",netherlands
emile.r,,netherlands
anders-hass,,sweden
joost_hee,"Life is too short to drink bad 
(Voorkeur voor stevige rode wijnen)",netherlands
mori.afshar,Wine is constant proof that God loves us and loves to see us happy- Benjamin Franklin,netherlands
roberts-a,,netherlands
kingmat,"Wine is sunlight held together by water!
  Galileo Gallilei",poland
thegrape,Love wine 🥂. Love Food 🍲. Love them together the most 🍷🍴.,united-kingdom
vivi_no13,"Die Guten ins Kröpfchen - die Schlechten ins Töpfchen 😉
I consider the price (+/- 0,2-0,5⭐️)",germany
andrei_ristea,"Wine friendly amateur, pursuing hedonistic experiences.",romania
ricards.mezulis,,latvia
jesper.moo,"Never drink the same wine, there are so many different wines. Try something different!",netherlands
ren.lu,"Life is great, wine is a part of that.",denmark
frits-t,Exploring the wonderful world of wine. (WSET® 3). ,netherlands
olegs.sorokins,"Conscious pleasure
",latvia
jochem-o,Home is where the wine is. Carpe Diem!,netherlands
gerard.krawczyk,,poland
darek.jj,,poland
sergey.pir,"ONAV, WSET-2",russia
alexisvandam,"Lecturer, Digital Strategist, Facilitator. Enjoys wine & whisky. 🇾🇪",netherlands
albert.mey,"A Spat a day, keeps the doctor away
Ambassador for Wine-Projects",spain
goswijn,Follow me on my winejourney. check my webblog and instagram thestoryofmywine,netherlands
joris-mert,"Qui aime le vin,aime la vie (Rabelais)",belgium
maria-ganz,,spain
robert.es,"A retired Connecticut guy now living in Lakewood Ranch, Florida. 😎",united-states
steve.standb,Chairman Stroud Wine Society. Lives in Gloucester,united-kingdom
jean-sen,"Any Day, Every Day, is a Happy Day with Brunello. ©️🙂
On Instagram @Brunellodude",canada
tony.conno,I like food & wine but not necessarily in that order. ,united-kingdom
inna.nasadiuk,"Wine lover, WSET2",ukraine
arkadiusz.ciesluk,"You can not buy happiness,  but you can buy a wine. So at the end it is the same.",poland
nerijus.i,,lithuania
maarteneekels,SDEN3 + WSET3 certified - WSET4 student - Check out my wine stories on Instagram,netherlands
marcel_van-de-,,netherlands
sidnei.cas,"Wine lover, value hunter.",brazil
darius.bak,"""Good wine makes good blood / Buon vino fa buon sangue""",lithuania
eelco-sch,Good wines are to drink in good company.,netherlands
andy.barke,Wine trade professional. WSET Diploma w. Distinction. Sharing my notes along the way.,united-kingdom
jeroen.cox,"Passionate to pair wine, food & travel. Featured user & wine geek (WSET 3 Advanced).",netherlands
claudia_ar,"Happy, fun and drink",mexico
piter-c,instagram @feed_me_wine ,united-kingdom
marcin.paprzycki,"Come as you are, no WSET required.
You follow and share, I share and follow.",spain
matesk,Just wine enthusiast,czech-republic
koen.bit,"I don't care which wine it is, if it's new to me, I wanna try! ",netherlands
ben-emm,Wine lover qualified to WSET Level 3. Instagram - @vinodaddio,united-kingdom
adrian_nuf,"To understand wine lasts forever, but it's a good time.",switzerland
mark.derk,Only 3 rules to achieve happiness ,spain
voron,Latvian wine club ,latvia
kalle.soininen,,finland
oli.g,Life is too short to drink bad wine!,switzerland
uwe.bob,My ambition - to find that perfect wine ! May it be looong that I don't find it !,south-africa
sergio_almeid,wine drinker,brazil
niels.van-den-,,netherlands
geert-wij,Was collector. Became drinker in restaurants. More with friends than with borders.,netherlands
mart-kul,I like red wine.  And enjoy it quite often. Have taken notes for some 20+ yrs. ,estonia
mykhaylo.syrota,,ukraine
thomasandersen20,"In Vino Veritas
I drink and I know things!",denmark
levil,Follow our shop thebutlerwineandspirits  Harderwijk.,netherlands
robert-j.w,,south-africa
edu.brea-luengo,,united-kingdom
nikolajs_k,,latvia
scott.gel,,china
nick-rowan,"WSET III approved wine geek. 
Anti-“Cheers!” spam. Appreciation, not flowery poetry. ",france
paul.wolte,,netherlands
julian.zhe,Designated wine lover and classical drinker ,bulgaria
samuel-gio,"Ingegnere Agronomo Enofilo Cuoco
Brasiliano/Italiano Viaggiatore 
",brazil
andrew.oz,"WSET 3 (Berry Brothers)
Cape Wine Academy level 1 and Certificate",united-kingdom
harry-rap,"Neurosurgeon and wine aficionado.  ""Wine enters, secrets exit""",israel
robbywine,"Beautiful to produce a drink, made of grapes, that hardly ever tastes like its fruit.",netherlands
denis.rt,,russia
agris-kr,,latvia
gilbert.pop,***,netherlands
a79e5c9882e15129f3c36bde43b6edb6,"In victory, you deserve champagne. In defeat, you need  it! 
(Napoleon Bonaparte).",russia
simonj10,,norway
ina.pr,Tasting my way around the world of wines. Giving my subjective opinion on them.,norway
thanos.pol,"Academic, traveller, wine enthusiast.
Amsterdam-based 🇳🇱🇬🇷",greece
rick-kov,Have lived around the world and taken the chance to taste food & wine.,united-kingdom
janne.aihtia,,finland
sippingfinewine,Wine for the Selective Palate; CSW & WSET3 Certified.  Instagram @sippingfinewine,united-states
perdenmark,Wine entusiast since 1991 - looking for great value wines. Fan of Riesling and Rioja,denmark
danielpre0,"A certified cork dork.

On an ongoing QPR search!",israel
seba-stian,Touched only tip of the wine's iceberg. In pursuit of its invisible part WIP. WSET L3,iceland
carlosvega13,Qvibvis vivere bibere est. Short: to drink is to live!,costa-rica
peter.bamps,Wine lover. Try to find the best quality/price. ,belgium
george-fil,MBD BULGARIAN SOMMELIERS AND WINE CONNOISEURS ASSOCIATION,bulgaria
marcelobrandao0,,brazil
christian_hav,I've been working with wine for well over 20 years in retail & in restaurants.,united-states
gerold.r,A passionate Otolaryngologist / oncological head and neck surgeon and wine lover,curacao
david.fult,"‘Good wine doesn’t need to be expensive, but expensive wine needs to be good’ 🍷🍾🥂",united-kingdom
lisa.harlo,Willing to try most wines. South Africa and Rieslings my favourites ,united-kingdom
p.joksimovic,Quid pro quo,netherlands
zyprexa,,netherlands
wijntjesdoteu,Independent wine blogger (in Dutch) TN @ Vivino in (basic) English. Left bank fanboy.,netherlands
merje-m,,estonia
