Winery,Year,Wine ID,Wine,Rating,num_review,Country,Region,Price
Barón,N.V.,1979160,Atalaya Manzanilla N.V.,3.1,78,spain,manzanilla,4.25
Feudo Arancio,2019,1144138,Nero d'Avola Sicilia 2019,3.7,816,italy,sicilia,4.45
Feudo Arancio,2019,8312,Grillo Sicilia 2019,3.6,819,italy,sicilia,4.45
Pasos de la Capula,2019,1247622,Tempranillo 2019,3.1,37,spain,castilla-la-mancha,4.77
Château Coustaut la Grangeotte,2018,1237094,Bordeaux Rouge 2018,3.8,297,france,bordeaux,4.95
Cielo e Terra,2021,1149079,Pinot Grigio Blush 2021,3.9,97,italy,della-venezie,4.95
Cielo e Terra,2021,1220803,Pinot Grigio 2021,3.7,40,italy,della-venezie,4.95
Yvecourt,2019,1454982,Bordeaux 2019,3.5,166,france,bordeaux,4.95
Cielo e Terra,2020,1220803,Pinot Grigio 2020,3.6,165,italy,della-venezie,4.95
Oude Kaap,2021,1144482,Chenin Blanc 2021,3.4,76,south-africa,western-cape,5.0
Laurent Truffer,N.V.,7521044,Sparkling Muscat Blanc Sans Alcohol N.V.,4.0,56,france,provence,5.25
Zenato,2016,1862920,Pinot Grigio 2016,3.7,915,italy,della-venezie,5.25
Oude Kaap,2020,1144481,Reserve Collection Chardonnay 2020,3.6,33,south-africa,western-cape,5.33
Vigneti del Salento,2020,1694750,Puglia I Muri Bianco 2020,3.6,117,italy,puglia,5.45
Antares,2020,1133235,Carmenère 2020,3.6,120,chile,central-valley,5.49
Rovisco Pais,2021,4068883,Península de Setúbal Branco 2021,3.9,31,portugal,terras-do-sado,5.5
Cave des Vignerons de Saint-Saturnin,2020,5012136,Pont Neuf Prestige Collection Blanc 2020,3.4,35,france,vin-de-pays-de-mediterranee,5.5
Toso,N.V.,1161347,Moscato Dolce Spumante N.V.,3.7,935,italy,piedmont,5.5
Les 5 Vallées,2021,5009361,Rosé 2021,3.7,37,france,vin-de-pays-vignobles-de-france,5.5
Tarani,2020,1198055,Malbec 2020,3.6,144,france,comte-tolosan,5.65
Tarani,2021,1161331,Gamay Rosé 2021,3.6,74,france,comte-tolosan,5.65
Tarani,2020,1166463,Cabernet Sauvignon 2020,3.3,249,france,comte-tolosan,5.65
Tarani,2021,1162801,Sauvignon 2021,3.7,48,france,comte-tolosan,5.65
Călușari,2020,1298257,Pinot Noir 2020,3.6,52,romania,recas,5.75
Pierre Zero,N.V.,7432367,Chardonnay Alcohol Free N.V.,3.4,565,france,vin-de-pays-de-mediterranee,5.75
Les 5 Vallées,2020,3462978,Sauvignon Blanc 2020,3.2,46,france,vin-de-pays-vignobles-de-france,5.79
Terrai,2020,2321919,OVG Old Vine Garnacha 2020,3.7,111,spain,carinena,5.88
Luccarelli,2020,3384194,Rosso Puglia 2020,3.9,575,italy,puglia,5.88
Vigneti del Salento,2021,1694750,Puglia I Muri Bianco 2021,3.7,27,italy,puglia,5.88
Sun Gate,2020,4481148,Red Zinfandel 2020,3.5,199,united-states,california,5.9
Baglio Gibellina,2019,4915032,Sogno del Sud Merlot 2019,3.5,43,italy,sicily,5.95
Tikveš,2018,6799216,Cuvée Methodius 2018,3.5,62,macedonia,tikve,5.95
Babylon's Peak,2020,6675469,Busy Bee Red Blend 2020,3.7,102,south-africa,swartland,5.95
Neleman,2020,2743977,Organic Tempranillo - Monastrell 2020,3.6,681,spain,comunitat-valenciana,5.95
Terre del Noce,2021,1177747,Pinot Grigio Dolomiti 2021,3.9,254,italy,vigneti-delle-dolomiti,5.95
Vigneti del Salento,2018,7970533,I Muri Rosso 2018,3.8,89,italy,puglia,5.95
Marcel Martin,2020,1414636,Cuvée Mademoiselle Merlot 2020,3.4,96,france,vin-de-pays-doc,5.95
Villa San Martino,2020,7996052,Le Rive Pinot Grigio 2020,3.3,25,italy,,5.95
La Gioiosa,N.V.,5532647,Il Giallo Frizzante Bianco N.V.,3.2,453,italy,veneto,5.95
Esteio,N.V.,1261595,Vinho Rosé N.V.,3.7,215,portugal,beiras,5.95
Pacheco,2018,2374316,Estancia del Silencio Monastrell Organic 2018,3.4,122,spain,jumilla,5.95
Toso,N.V.,5358504,Sprintoso Moscato Spumante N.V.,3.8,1087,italy,piedmont,5.95
La Mura,2018,5959572,Pinot Grigio 2018,3.5,136,italy,sicily,5.95
Casa Ermelinda Freitas,2020,6304212,Vinha da Fonte Touriga Nacional 2020,4.0,358,portugal,terras-do-sado,5.95
Bodegas Latúe,2019,1377834,Clearly Organic Tempranillo 2019,3.2,109,spain,castilla-la-mancha,5.95
Bodegas Latúe,2019,3867449,Clearly Organic Airén - Sauvignon Blanc 2019,3.6,58,spain,castilla-la-mancha,5.95
Viña Marty,2019,8961806,Chaka Carmenere 2019,3.7,62,chile,central-valley,5.95
Cape Dream,2020,1234879,Pinotage 2020,3.6,36,south-africa,western-cape,5.95
Drostdy-Hof,2017,76866,Chenin Blanc (Steen) 2017,3.0,61,south-africa,stellenbosch,5.95
Adega Cooperativa de Borba,2019,80242,Alentejano Convento Da Vila 2019,3.6,1456,portugal,alentejo,5.95
Tsantali,N.V.,1166512,Retsina N.V.,2.6,1279,greece,macedonia,5.99
Cuatro Rayas,2019,2482538,Pecatis Tuis Verdejo 2019,3.5,51,spain,castilla-and-leon,5.99
Kleindal,2019,1682567,Chenin Blanc 2019,3.6,43,south-africa,robertson,5.99
Félix Solís,2020,1323253,Viña San Juan Tinto 2020,3.7,121,spain,la-mancha,5.99
Pierre Jean,2020,1146985,Colombard - Chardonnay 2020,3.4,32,france,cotes-de-gascogne,5.99
Cuatro Rayas,2018,2897549,Pecatis Tuis Roble Tempranillo 2018,3.3,35,spain,castilla-and-leon,5.99
Kiwi Cuvée,2020,1396731,Bin 086 Sauvignon Blanc 2020,3.6,109,france,vin-de-pays-vignobles-de-france,6.05
Kiwi Cuvée,2020,2291445,Bin 068 Chardonnay 2020,3.8,28,france,vin-de-pays-vignobles-de-france,6.25
Les Vignerons de Buzet,2016,1221510,Roches d'Hillac 2016,3.3,43,france,buzet,6.32
Oliveda,2021,1852945,Clos Primat Blanco 2021,3.5,40,spain,empord,6.35
