,source,retweets,Text,timestamp,userlocation
0,Twitter Web App,5.0,"RT @SlovenianA: Incredible! - the World's Oldest #Vine in #Maribor, #Slovenia, still producing #grapes after 400 years. This vine has found…",2022-09-17 08:08:47,
1,Twitter for Android,3.0,"RT @hydamus: How about a stupendous blend of Viognier and Muscat to start your weekend? 💫🤩

@domainewardy Private Selection White oozes wit…",2022-09-17 08:07:10,Everywhere 
2,TestAppForBI2,0.0,"Wine Tumbler, Gift for Wine Lover, Gift for Her, Barware
 #LoverGift #Barware #WineTumbler #wine #CreationsbyCasady… https://t.co/BG1dV7MEgz",2022-09-17 08:04:25,"Lugano, Switzerland"
3,Twitter for iPhone,0.0,We’re excited to share @SVBranches recently published piece on #wine and #winetasting @ https://t.co/KkvccnEyEY https://t.co/t5nrbJCbC6,2022-09-17 07:56:36,"Los Angeles, CA"
4,Twitter for iPhone,7.0,"RT @Julianna_glass: It’s the night full of fire 🔥 and #wine 🍷 

Cheers lovely people! 🍷 #thursdayvibes https://t.co/A0pZNoOrpb",2022-09-17 07:47:45,"Cheshire, England"
5,Twitter for iPhone,2.0,"RT @Julianna_glass: Enjoy soothing #wine vibes every time you sip wine from an elegant glass ✨🍷💕

Happy #FridayVibes to all!! 🍷🥂🥰 https://t…",2022-09-17 07:47:39,"Cheshire, England"
6,Twitter for iPhone,12.0,RT @winewankers: Only the most logical decision! #wine https://t.co/MVp48JPsDv,2022-09-17 07:47:06,"Cheshire, England"
7,Twitter for iPhone,1.0,"RT @Graceyreel: If you love #wine you will love @SVBranches new piece focused on #napa, #sonoma and #winetasting @ https://t.co/96PoYTHGTr…",2022-09-17 07:46:00,"Los Angeles, CA"
8,LaterMedia,0.0,#CalvetMurmuredeRose Côtes de Provence 2021 - to be released soon in the UK Read latest #secretsommelieruk #article… https://t.co/HSZBs77OaG,2022-09-17 07:45:36,London
9,Twitter for iPhone,1.0,"If you love #wine you will love @SVBranches new piece focused on #napa, #sonoma and #winetasting @… https://t.co/0c8STvzfLM",2022-09-17 07:43:18,"Los Angeles, CA"
10,Twitter for Android,12.0,RT @winewankers: Only the most logical decision! #wine https://t.co/MVp48JPsDv,2022-09-17 07:41:43,
11,Twitter for iPhone,0.0,Presentation and degustation of #Georgian #wine🍷 in #Riga #exclusive and #rare wines were tasted https://t.co/yRXafQgzLm,2022-09-17 07:41:10,"Riga, Latvia"
12,TweetDeck,0.0,"@CasilleroDiablo #Wine

Do you want to be associated with a North Korea like censorship?

#MUFC sponsors have a res… https://t.co/LDf1FyTFuP",2022-09-17 07:35:17,
13,Metricool,0.0,"From Mediterranean and local varieties to acclaimed Bordeaux blends, the wines of Israel are exceptionally diverse… https://t.co/p7Efc9VE04",2022-09-17 07:29:20,Florence
14,Twitter Web App,0.0,"Come enjoy a tasting of some of the wines from our friends from @HillcrestFarm 

#wine #lovewine… https://t.co/rEcTwMtWSu",2022-09-17 07:26:17,South Africa
15,Twitter for iPhone,0.0,"Issue 594 of Italian Weekly #WineNews is out now, with the top 7 Italian #wine &amp; #food #news of the week, https://t.co/l9OB8nYAlA",2022-09-17 07:26:10,Italia
